品牌,车型,日期,销售量
大众,凌渡,2015-05-01,8369
大众,凌渡,2015-06-01,7302
大众,凌渡,2015-07-01,6031
大众,凌渡,2015-08-01,7853
大众,凌渡,2015-09-01,9147
大众,凌渡,2015-10-01,10041
大众,凌渡,2015-11-01,15710
大众,凌渡,2015-12-01,11243
大众,凌渡,2016-01-01,15295
大众,凌渡,2016-02-01,10107
大众,凌渡,2016-03-01,16452
大众,凌渡,2016-04-01,10237
大众,凌渡,2016-05-01,9900
大众,凌渡,2016-06-01,9351
大众,凌渡,2016-07-01,8348
大众,凌渡,2016-08-01,9049
大众,凌渡,2016-09-01,12034
大众,凌渡,2016-10-01,10805
大众,凌渡,2016-11-01,16511
大众,凌渡,2016-12-01,15056
大众,凌渡,2017-01-01,15474
大众,凌渡,2017-02-01,8351
大众,凌渡,2017-03-01,11410
大众,凌渡,2017-04-01,8785
大众,凌渡,2017-05-01,5359
大众,凌渡,2017-06-01,19009
大众,凌渡,2017-07-01,4619
大众,凌渡,2017-08-01,8117
大众,凌渡,2017-09-01,17803
大众,凌渡,2017-10-01,13991
大众,凌渡,2017-11-01,13277
大众,凌渡,2017-12-01,16539
大众,凌渡,2018-01-01,14831
大众,凌渡,2018-02-01,9646
大众,凌渡,2018-03-01,15536
大众,凌渡,2018-04-01,11100
大众,凌渡,2018-05-01,9661
大众,凌渡,2018-06-01,15064
大众,凌渡,2018-07-01,10134
大众,凌渡,2018-08-01,10876
大众,凌渡,2018-09-01,9616
大众,凌渡,2018-10-01,9020
大众,凌渡,2018-11-01,12953
大众,凌渡,2018-12-01,6309
大众,凌渡,2019-01-01,11966
大众,凌渡,2019-02-01,6584
大众,凌渡,2019-03-01,11800
大众,凌渡,2019-04-01,8025
大众,凌渡,2019-05-01,9167
大众,凌渡,2019-06-01,8165
大众,凌渡,2019-07-01,5305
大众,凌渡,2019-08-01,8525
大众,途观L 混合动力,2018-11-01,1513
大众,途观L 混合动力,2018-12-01,1184
大众,途观L 混合动力,2019-01-01,769
大众,途观L 混合动力,2019-02-01,849
大众,途观L 混合动力,2019-03-01,1574
大众,途观L 混合动力,2019-04-01,1455
大众,途观L 混合动力,2019-05-01,1259
大众,途观L 混合动力,2019-06-01,1503
大众,途观L 混合动力,2019-07-01,730
大众,途观L 混合动力,2019-08-01,587
野马汽车,斯派卡,2018-01-01,1017
野马汽车,斯派卡,2018-02-01,336
野马汽车,斯派卡,2018-03-01,497
野马汽车,斯派卡,2018-04-01,707
野马汽车,斯派卡,2018-05-01,456
野马汽车,斯派卡,2018-06-01,459
野马汽车,斯派卡,2018-07-01,470
野马汽车,斯派卡,2018-08-01,436
野马汽车,斯派卡,2018-09-01,486
野马汽车,斯派卡,2018-10-01,298
野马汽车,斯派卡,2018-11-01,196
野马汽车,斯派卡,2018-12-01,41
野马汽车,斯派卡,2019-01-01,10
野马汽车,斯派卡,2019-02-01,11
野马汽车,斯派卡,2019-03-01,96
野马汽车,T80,2018-01-01,127
野马汽车,T80,2018-02-01,30
野马汽车,T80,2018-03-01,110
野马汽车,T80,2018-04-01,266
野马汽车,T80,2018-05-01,127
野马汽车,T80,2018-06-01,191
野马汽车,T80,2018-07-01,465
野马汽车,T80,2018-08-01,1115
野马汽车,T80,2018-09-01,365
野马汽车,T80,2018-10-01,398
野马汽车,T80,2018-11-01,69
野马汽车,T80,2018-12-01,12
野马汽车,T80,2019-01-01,6
野马汽车,T80,2019-02-01,68
野马汽车,T80,2019-03-01,43
野马汽车,EC30,2018-01-01,49
野马汽车,EC30,2018-02-01,23
野马汽车,EC30,2018-03-01,65
野马汽车,EC30,2018-04-01,56
野马汽车,EC30,2018-05-01,52
野马汽车,EC30,2018-06-01,150
野马汽车,EC30,2018-07-01,220
野马汽车,EC30,2018-08-01,335
野马汽车,EC30,2018-09-01,160
野马汽车,EC30,2018-10-01,320
野马汽车,EC30,2018-11-01,237
野马汽车,EC30,2018-12-01,164
野马汽车,EC30,2019-01-01,6
野马汽车,EC30,2019-04-01,89
野马汽车,T70,2015-01-01,142
野马汽车,T70,2015-02-01,433
野马汽车,T70,2015-03-01,754
野马汽车,T70,2015-04-01,862
野马汽车,T70,2015-05-01,1157
野马汽车,T70,2015-06-01,1076
野马汽车,T70,2015-07-01,1491
野马汽车,T70,2015-08-01,864
野马汽车,T70,2015-09-01,1969
野马汽车,T70,2015-10-01,1870
野马汽车,T70,2015-11-01,1511
野马汽车,T70,2015-12-01,489
野马汽车,T70,2016-01-01,4380
野马汽车,T70,2016-02-01,2244
野马汽车,T70,2016-03-01,2761
野马汽车,T70,2016-04-01,2240
野马汽车,T70,2016-05-01,2320
野马汽车,T70,2016-06-01,1819
野马汽车,T70,2016-07-01,2400
野马汽车,T70,2016-08-01,2262
野马汽车,T70,2016-09-01,3035
野马汽车,T70,2016-10-01,2803
野马汽车,T70,2016-11-01,2888
野马汽车,T70,2016-12-01,9141
野马汽车,T70,2017-01-01,961
野马汽车,T70,2017-02-01,2543
野马汽车,T70,2017-03-01,3208
野马汽车,T70,2017-04-01,3892
野马汽车,T70,2017-05-01,2360
野马汽车,T70,2017-06-01,1990
野马汽车,T70,2017-07-01,2045
野马汽车,T70,2017-08-01,2233
野马汽车,T70,2017-09-01,2528
野马汽车,T70,2017-10-01,2943
野马汽车,T70,2017-11-01,3083
野马汽车,T70,2017-12-01,6762
野马汽车,T70,2018-01-01,1236
野马汽车,T70,2018-02-01,729
野马汽车,T70,2018-03-01,1023
野马汽车,T70,2018-04-01,445
野马汽车,T70,2018-05-01,174
野马汽车,T70,2018-06-01,400
野马汽车,T70,2018-07-01,505
野马汽车,T70,2018-08-01,1338
野马汽车,T70,2018-09-01,812
野马汽车,T70,2018-10-01,377
野马汽车,T70,2018-11-01,1256
野马汽车,T70,2018-12-01,201
野马汽车,T70,2019-01-01,24
野马汽车,T70,2019-02-01,29
野马汽车,T70,2019-03-01,141
野马汽车,T70,2019-04-01,7
英致,737,2015-09-01,1658
英致,737,2015-10-01,3238
英致,737,2015-11-01,4038
英致,737,2015-12-01,3096
英致,737,2016-01-01,3553
英致,737,2016-02-01,1176
英致,737,2016-03-01,1937
英致,737,2016-04-01,1584
英致,737,2016-05-01,1237
英致,737,2016-06-01,845
英致,737,2016-07-01,1033
英致,737,2016-08-01,1112
英致,737,2016-09-01,1128
英致,737,2016-10-01,1167
英致,737,2016-11-01,1062
英致,737,2016-12-01,1001
英致,737,2017-01-01,500
英致,737,2017-02-01,371
英致,737,2017-03-01,346
英致,737,2017-04-01,169
英致,737,2017-05-01,453
英致,737,2017-06-01,551
英致,737,2017-07-01,220
英致,737,2017-08-01,139
英致,737,2017-09-01,424
英致,737,2017-10-01,559
英致,737,2017-11-01,613
英致,737,2017-12-01,634
英致,737,2018-01-01,367
英致,737,2018-02-01,178
英致,737,2018-03-01,306
英致,737,2018-04-01,181
英致,737,2018-05-01,156
英致,737,2018-06-01,198
英致,737,2018-07-01,158
英致,737,2018-08-01,247
英致,737,2018-09-01,212
英致,737,2018-10-01,305
英致,737,2018-11-01,314
英致,737,2018-12-01,315
英致,737,2019-01-01,285
英致,737,2019-02-01,121
英致,737,2019-03-01,157
英致,737,2019-04-01,157
英致,737,2019-05-01,153
英致,737,2019-06-01,183
英致,737,2019-07-01,160
英致,737,2019-08-01,125
英致,G5,2016-10-01,566
英致,G5,2016-11-01,544
英致,G5,2016-12-01,695
英致,G5,2017-01-01,262
英致,G5,2017-02-01,270
英致,G5,2017-03-01,370
英致,G5,2017-04-01,104
英致,G5,2017-05-01,180
英致,G5,2017-06-01,206
英致,G5,2017-07-01,25
英致,G5,2017-08-01,87
英致,G5,2017-09-01,277
英致,G5,2017-10-01,378
英致,G5,2017-11-01,467
英致,G5,2017-12-01,501
英致,G5,2018-01-01,405
英致,G5,2018-02-01,166
英致,G5,2018-03-01,298
英致,G5,2018-04-01,330
英致,G5,2018-05-01,310
英致,G5,2018-06-01,159
英致,G5,2018-07-01,273
英致,G5,2018-08-01,308
英致,G5,2018-09-01,270
英致,G5,2018-10-01,330
英致,G5,2018-11-01,206
英致,G5,2018-12-01,275
英致,G5,2019-01-01,234
英致,G5,2019-02-01,138
英致,G5,2019-03-01,164
英致,G5,2019-04-01,164
英致,G5,2019-05-01,105
英致,G5,2019-06-01,162
英致,G5,2019-07-01,111
英致,G5,2019-08-01,126
英致,727,2016-03-01,583
英致,727,2016-04-01,774
英致,727,2016-05-01,426
英致,727,2016-06-01,447
英致,727,2016-07-01,165
英致,727,2016-08-01,488
英致,727,2016-09-01,655
英致,727,2016-10-01,351
英致,727,2016-11-01,262
英致,727,2016-12-01,252
英致,727,2017-01-01,178
英致,727,2017-02-01,99
英致,727,2017-03-01,375
英致,727,2017-04-01,1841
英致,727,2017-05-01,1370
英致,727,2017-06-01,1149
英致,727,2017-07-01,869
英致,727,2017-08-01,843
英致,727,2017-09-01,924
英致,727,2017-10-01,852
英致,727,2017-11-01,985
英致,727,2017-12-01,1030
英致,727,2018-01-01,790
英致,727,2018-02-01,427
英致,727,2018-03-01,443
英致,727,2018-04-01,337
英致,727,2018-05-01,348
英致,727,2018-06-01,338
英致,727,2018-07-01,370
英致,727,2018-08-01,312
英致,727,2018-09-01,408
英致,727,2018-10-01,350
英致,727,2018-11-01,276
英致,727,2018-12-01,341
英致,727,2019-01-01,339
英致,727,2019-02-01,235
英致,727,2019-03-01,215
英致,727,2019-04-01,215
英致,727,2019-05-01,204
英致,727,2019-06-01,158
英致,727,2019-07-01,157
英致,727,2019-08-01,154
英致,G3,2015-09-01,1137
英致,G3,2015-10-01,1103
英致,G3,2015-11-01,961
英致,G3,2015-12-01,1090
英致,G3,2016-01-01,1654
英致,G3,2016-02-01,853
英致,G3,2016-03-01,916
英致,G3,2016-04-01,1120
英致,G3,2016-05-01,806
英致,G3,2016-06-01,726
英致,G3,2016-07-01,809
英致,G3,2016-08-01,1006
英致,G3,2016-09-01,962
英致,G3,2016-10-01,782
英致,G3,2016-11-01,789
英致,G3,2016-12-01,858
英致,G3,2017-01-01,342
英致,G3,2017-02-01,312
英致,G3,2017-03-01,420
英致,G3,2017-04-01,216
英致,G3,2017-05-01,423
英致,G3,2017-06-01,539
英致,G3,2017-07-01,211
英致,G3,2017-08-01,249
英致,G3,2017-09-01,460
英致,G3,2017-10-01,586
英致,G3,2017-11-01,531
英致,G3,2017-12-01,637
英致,G3,2018-01-01,354
英致,G3,2018-02-01,238
英致,G3,2018-03-01,326
英致,G3,2018-04-01,160
英致,G3,2018-05-01,128
英致,G3,2018-06-01,131
英致,G3,2018-07-01,182
英致,G3,2018-08-01,248
英致,G3,2018-09-01,271
英致,G3,2018-10-01,208
英致,G3,2018-11-01,233
英致,G3,2018-12-01,238
英致,G3,2019-01-01,273
英致,G3,2019-02-01,125
英致,G3,2019-03-01,184
英致,G3,2019-04-01,184
英致,G3,2019-05-01,165
英致,G3,2019-06-01,112
英致,G3,2019-07-01,137
英致,G3,2019-08-01,143
