招聘岗位,工作职责,工作要求
22989-Web前端开发高级工程师,负责腾讯云音视频产品线和云通信产品线的基础SDK组件开发工作，致力于为企业客户提供优质稳定可靠的音视频和云通讯基础服务。涉及的产品包括：\n web im sdk - 目前正在研发新版本；\n webrtc sdk - 目前正在对接新的 chrome 协议；\n web player - 目前正在规划新一代的播放器方案。,负责腾讯云 Web 视频播放器的相关开发工作；\n负责腾讯云 WebRTC SDK 的相关开发工作；\n负责腾讯云管理控制台等管理系统的开发工作；\n负责腾讯云 WebIM SDK 的相关开发工作；\n负责腾讯云音视频小程序的相关开发工作。  通过腾讯云技术认证或同等资格认证的优先录取。
CSIG17-LBS产品能力技术评价岗位,"负责互联网LBS产品的核心能力评价，通过评价效果推动LBS能力优化满足用户体验，专注地图路线导航或定位技术等研究，进行数据分析及数据挖掘，跟踪分析国内外竞品与行业标杆，搭建地图核心能力的评估和分析体系，从算法、策略和数据层面（准确性,合理性等）各个纬度制定全方面的评估方案和监控指标,帮助团队提高地图核心服务的能力。",对LBS领域有浓厚兴趣，对用户数据敏感，逻辑思维能力强，具备团队管理经验、有效的沟通能力以及部门间合作经验，拥有3年及以上数据分析或数据挖掘经验（能力优秀者可视情况放宽要求），熟练使用Spark、Cassandra、Hadoop等开源组件者优先；数学或统计学专业优先。
WXG01-微信高级数据分析工程师（广州）,负责微信通讯和社交等业务的数据分析工作；\r\n搭建产品的用户行为数据指标体系，并构建用户行为画像；\r\n负责产品和运营核心策略的分析建模，指导业务科学决策；\r\n设计和分析A/B Testing实验，并将实验分析结果转化为可行的业务策略；\r\n探索产品生命周期、产品健康指数、产品增长机会等；\r\n自驱开展专题数据研究，通过数据驱动产品体验优化和用户增长。,计算机科学、数据科学、机器学习、统计学、应用数学等领域硕士及以上学历；\r\n4年以上数据科学相关岗位的工作经验；\r\n有系统性数据分析方法论的沉淀；\r\n有设计和分析A/B Testing的经验；\r\n有应用机器学习进行业务建模的经验；\r\n熟练使用SQL/Hive语句；\r\n熟练使用Python/R/SAS等数据分析工具；\r\n熟练使用EXCEL/Tableau等数据可视化工具。\r\n\r\n符合以下条件优先：\r\n有Hadoop、Spark等平台的海量数据处理经验；\r\n有国内外互联网公司或其他行业的数据科学或用户增长经验。
25923-devops平台产品经理,参与蓝盾DevOps平台工具链产品研究工作 ，提出解决方案，确定产品功能及用户交互，绘制产品原型图，编写相关需求文档; \n计划、协调和沟通驱动开发团队紧密合作，高效项目执行，达成产品目标; \n持续对行业需求和用户需求进行调研分析，不断优化产品，提升产品质量和用户体验; 时刻关注行业发展，输出竞品分析报告; \n实施工具平台运营推广工作，建立数据分析方法，分析用户行为，了解产品运行状态并提出运营优化方案;\n参与平台上的技术研究和需求开发工作。\n,本科以上学历，计算机软件及相关专业毕业，有两年以上软件开发（java，python等）背景; \n熟悉DevOps体系，熟悉CI/CD相关等研发流程工具平台（如Jenkins/Travis CI/GoCD等）;\n 沟通能力强、逻辑分析能力强、思维缜密，较好的书面表达能力、做事条理性强; \n具有较强的沟通、推动和问题解决能力; \n学习意识/学习能力强，持续研究行业内外研发效能提升工具/方法新领域，喜欢挑战，追求自我持续改进和知识更新; 能承受互联网工作压力和快速交付节奏。
30361-创新产品Web前端工程师,负责社交类创新App的前端和小程序的开发；\n参与跨平台项目的架构设计与实现，承担跨平台技术的重点、难点的攻坚；\n钻研各种前沿技术和创新交互，增强用户体验、开拓前端能力边界。,三年以上前端开发经验，对一到多个专项技术领域有较深入研究;\n精通HTML5、CSS3、JavaScript等技术；\n精通前端性能优化技术；\n掌握至少一门服务器端编程语言，熟悉 HTTP、HTTPS 等常见网络协议，有服务器运维经验者优先；\n爱学习，动手能力强，能不断优化提升产品体验或拓展技术视野。
CSIG17-在线教育高级测试工程师,1、负责CSIG在线教育业务的前后端自动化、专项测试、mock能力建设、monkey等，有效提升测试效率及业务质量。\n2、发现在线教育业务中的痛点，通过测试工具开发、监控平台建设、后台环境治理等能力建设，拓展测试左移、右移、分层测试等测试能力，帮助CSIG在线教育业务提升可测性、整体测试效率及质量。\n3、结合黑盒测试、白盒测试、精准测试、分层测试等测试能力，保障在线教育业务基础质量：平台技术栈覆盖非常广泛，涉及PC、web、h5、小程序、移动端、后台等，其中涉及云直播、云录播、RN、cocos等。\n在线教育覆盖3大业务：腾讯课堂——在线职业教育平台，提升中国年轻人的职场竞争力；企鹅辅导——中小学线上辅导，以最优质的教学内容和教学服务辐射3-4线城市，推动线上教育资源公平化；ABCmouse——独家引入美国知名少儿英语学习产品，结合腾讯产品理念和技术能力，将优质的英语学习体验带给中国的孩子们。,计算机本科及以上相关专业3年以上工作经验，有教育行业测试经验、专项测试或测试开发经验者优先；\n对操作系统、计算机网络和数据库等计算机和软件基础有比较深入的理解和实践；\n熟悉各种常用的网络协议以及其原理；熟练掌握c/c++/java/go等至少一种编程语言或对python/shell/perl等至少一门脚本语言有丰富的实践经历；\n有相关自动化测试、专项测试或测试工具平台建设者优先；\n具备良好的团队合作精神，善于沟通协调，具备较高的问题推动解决能力；\n有不错的工作抗压能力，富有激情，责任心强，做事公正客观。
27092-商业化web前端开发leader（深圳）,负责PCG的应用宝、微视等媒体商业化和内容商业化的跨端样式能力、链路优化、效率工具的整体技术架构规划和方向，其中包括不限于通用可视化配置平台、亿级Nodejs接入层、全域智能触达、A/BTest系统、素材智能化拼接、素材与落地页优选、Hippy与Flutter等跨端能力的整体架构方案的制定和推动落地，要求设计的架构具有高性能和高可靠性，并在前端行业具有前瞻性。,熟知泛前端技能，包括不限于JavaScript（TC39）、http[s]和http2协议、RN \u0026 Weex \u0026 Flutter的跨端兼容解决方案、hybrid App性能调优、Node.js后端研发方案，有主导过上述类似方案并在行业产生影响的经验者优先；\n熟知多线程、TCP/IP协议、后端架构，具有大请求量（5000w+/天甚至亿级)服务高并发、性能分析调优、优秀后端架构设计经验者优先；\n熟悉大规模前端链路调优或通过研发、产品策略推动页面转化率提升经验者优先。\n对前端领域技术有非常深的了解，并能将产品研发经验、行业信息、数据分析、用户研究等能力洞察业务需求，并推演出行业领先的解决方案；
30628-腾讯广告算法工程师（研发中心-深圳/北京）,腾讯社交广告系统后台质量研发，偏重算法策略研究、设计与实现，参加以下一到多项工作：\n用户画像建模 \u0026\u0026 广告精准定向技术\n广告排序算法 \u0026\u0026 策略优化\n广告转化率预估 \u0026\u0026 转化策略优化\n广告素材(文本和图片)语义特征挖掘\n广告用户体验优化\n广告 A/B Test 实验系统\n大规模并行机器学习系统建设,具有扎实的数据结构和算法功底； 熟练使用 C/C++ || Python || Java || Scala\n数据挖掘 || 自然语言处理 || 机器学习\n有海量数据处理经验，熟悉 Hadoop || Storm || Spark\n有广告、搜索引擎、推荐系统相关技术经验者优先\n较强学习能力 \u0026\u0026 逻辑思维能力 \u0026\u0026 具备良好的问题分析与解决能力\n善于沟通，工作积极主动，责任心强，具备良好的团队协作能力
30361-社交产品经理-付费向,基于产品形态对用户需求进行挖掘，制定产品变现玩法能力，促进业务增长； \n挖掘和分析产品数据，研究用户需求及行为特点，提供解决方案，提升用户整体付费率与ARPU值；\n负责产品功能设计和交互设计，撰写详细的产品设计文档和原型设计文档；\n负责方案推进过程中的跨部门协调沟通工作，能协调各资源以确保方案顺利实施。,1～3年社交相关产品经验，对社交产品充满热情；\n负责过直播/聊天室产品中礼物、特权、互动玩法等模块的玩法；\n对数据敏感，有较强的逻辑与分析能力，善于发现与挖掘数据价值； \n有较强的沟通能力、逻辑分析能力，善于发现解决问题；\n 责任心强，能够推进项目进程；
30360-QQ社交功能产品策划经理（深圳）,负责QQ社交功能的策划工作；\n通过洞察QQ年轻用户社交诉求，同时基于数据的挖掘及分析，制定QQ社交模块整体规划；\n独立负责社交及关系链相关功能的产品概念、产品设计、推动实施，提升QQ关系链的活跃度；\n对QQ关系链进行日常维护及数据跟踪，定期分析运营效果，跟踪用户行为。,具备3年以上互联网产品策划的工作经历；\n负责并主导过大型社交类互联网产品，有比较强的数据分析能力； \n具备较强的创新能力，善于分析市场及提炼用户需求，对社交领域有独到的见解和积累；\n具备带人经验，有比较强的自驱力和思辨力，思路清晰逻辑严谨。
25927-游戏测试经理（深圳）,快速上手业务，并组织团队完成产品的质量体系构建和管理工作；\n招聘并构建测试团队，完成团队的建设和发展，实现良好的跨团队合作；\n优化、提高团队的测试效率和输出质量，主动发现问题并优化改善，做好过程和结果的积极反馈和团队的反思提升工作；\n承担团队的游戏运营品质和责任，关注并提升团队业绩；\n承担外网游戏品质责任，关注项目业绩。,本科以上学历，有3年以上软件测试经验，有游戏测试经验者优先，具有快速熟悉业务流程和优化，并建立完善质量体系的能力；\n有过带领团队独立完成项目测试工作，做好工作中的问题挖掘和改善，带领团队提升业务熟悉度和技术能力的提升的经验；\n优秀的执行力和抗压能力，热爱游戏测试，乐于主动反馈和积极思考；\n熟悉至少一门开发或者脚本语言，C++、C、C#、php、python优先；\n熟悉主流操作系统原理（windows、linux、android）、网络协议等，有过前后端性能、安全、兼容等测试经验者优先。
22989-日志研发高级工程师（北京）,负责腾讯云日志服务平台研发； \n大规模日志数据存储、分析与处理。,1. 计算机专业本科及以上学历，3年以上互联网后台开发经验； \n2. 熟练掌握linux环境下c++/c/golang/python中的一种或几种； \n3. 熟练掌握常见的数据结构和算法； \n4. 熟悉网络的基本原理，如TCP/IP协议，HTTP协议等； \n5. 具有较好的团队合作和沟通能力； \n6. 有日志平台开发经验优先； \n7. 有检索系统开发经验（PB级）经验者优先考虑； \n8. 有大数据系统开发、OLAP系统开发经验优先； \n9. 熟悉常见大数据基础组件的使用/原理/调优者优先，如Flume/Kafka/Hadoop/Hbase/Spark/Storm/ELK/ETL/kafka/Hive/ZK等。  通过腾讯云技术认证或同等资格认证的优先录取。
27092-应用宝商业化资源运营合作经理（深圳）,建立及运营部门商业化资源体系，含资源拓展，定价，售卖结算管理。并基于项目/活动需求，进行资源通案策划和个案策划，负责执行落地；\n按照项目节点/项目需求与内部各平台合作，协同产品运营策划合作模式，合作内容，规划合作资源； \n月度对外进行结算对账管理，向内对接BG财管进行收入上报管理；\n了解或知悉内外部合作基本流程，针对各项内外部合作提供流程意见及风险预警，与公司内部各内部平台建立保持良好合作关系。,本科及以上学历，具备2年以上相关工作经验；\n有相关对内对外合作沟通经验，有较强的沟通能力； \n擅长数据处理，了解财务结算相关内容流程； 有整合策划及资源投放运营相关经验，并对效果广告有理解。\n
25924-大数据平台开发工程师（深圳）,负责腾讯游戏大数据应用系统的后端开发工作，处理包括高并发场景or复杂业务逻辑下数据平台的开发设计工作,"本科及以上学历，计算机相关专业，3年及以上相关工作经验,有扎实的计算机理论基础，对数据结构，设计模式有深度的了解；  \r\n开发语言golang、php、java不限，至少精通掌握一种； 对一些开发框架的原理\u0026源码都有一定的了解（如laravel）\r\n具备大容量、高性能复杂系统的设计和架构能力，能够快速根据需求完成系统设计和开发，有良好的团队合作意识，能适应高强度的开发节奏；\r\n良好的学习能力、沟通能力、适应能力，责任心强，能在压力下独立解决问题； 热爱互联网，喜欢挑战者优先； 具备良好的学习能力、分析解决问题能力。"
PCG10-搜索C++后台开发高级工程师,负责浏览器搜索中心业务服务的后台开发工作，通过对业务架构的合理设计与实现支持业务需求的快速实现，支持业务的高速发展；\n系统分析搜索质量，针对性的提出优化策略与方法并实施，对优化效果负责；\n负责搜索基础组件的研发工作，包括分布式检索系统、Query理解模块、分布式存储等方向；\n后台服务的设计、重构、性能优化等工作。,精通C/C++编程，熟悉Linux平台、shell脚本，对数据结构和算法设计有较为深刻的理解；\n熟悉多线程/多进程程序开发，对异步、并发技术有深入理解；\n从事过搜索引擎相关开发工作；\n熟悉TCP/IP HTTP等网络协议，具备海量服务器开发经验者优先；\n本科及以上相关专业学历，5年及以上工作经验；\n具有良好的沟通能力，团队合作能力，自我管理能力，较强的抗压能力。
PCG10-搜索C++后台开发工程师,负责浏览器搜索中心业务服务的后台开发工作，通过对业务架构的合理设计与实现支持业务需求的快速实现，支持业务的高速发展；\n系统分析搜索质量，针对性的提出优化策略与方法并实施，对优化效果负责；,精通C/C++编程，熟悉Linux平台、shell脚本，对数据结构和算法设计有较为深刻的理解；\n熟悉多线程/多进程程序开发，对异步、并发技术有深入理解；\n熟悉TCP/IP HTTP等网络协议，具备海量服务器开发经验者优先；\n本科及以上相关专业学历，2年及以上工作经验；\n具有良好的沟通能力，团队合作能力，自我管理能力，较强的抗压能力。
29316-组织发展经理（深圳）,1.组织有效性相关产品研发及专业服务，包括：参与或主导在组织有效性评估、组织诊断、组织设计等方面相关工具产品的研发及推广；\n2.根据公司发展的需要，针对行业标杆企业做有针对性的研究，为公司未来的组织发展和优化提供有价值的参考或根据需要给出专业的建议\n3.配合组织发展总监结合腾讯集团内部不同的事业群、线和部门，梳理和总结组织设计的最佳实践，为公司内部组织优化提供参考；\n4.参与及协助公司级、事业群级组织有效性诊断和并提供有效的解决方案，配合事业群、线或重点业务部门的发展需要，根据项目的规模和复杂性，作为Co-PM或核心项目成员主导或参与到组织有效性诊断的项目中，为内部客户提供专业的解决方案；\n5.组织设计和优化赋能：协助对项目、管理实践等进行案例总结及做好知识管理、资源库的建立；\n6.设计及开发各种形式的针对HRD、OD、BP等同事的组织评估、设计、优化工具及方法等相关专业知识和技术的赋能。\n7.参与组织绩效、个人绩效体系的优化和相关工具开发。,1.本科及以上学历；5年及以上相关工作经验；\n2.认同公司企业文化，敬业和自我激励；\n3.较好系统性思维、善于分析、提炼总结，及快速学习能力；\n4.良好的口头和书面表达能力、沟通协调和组织能力；\n客户导向强，良好的团队合作意识和能力，同时具备较强的推动及执行落地能力；\n5.有组织有效性评估诊断、组织设计及组织变革、集团管控、绩效体系设计等相关专业知识及项目运作经验者优先；兼具知名人力资源咨询公司工作经验及企业组织发展工作经验者优先；具备海外学习或工作经历者优先。
TEG02-网管系统后台开发工程师（深圳）,负责网络基础架构网管系统后台架构设计与性能优化；\r\n负责海量网络设备分布式采集与控制；\r\n负责网管后台模块的运营和维护，保证系统稳定运行；\r\n参与网管系统的后台需求分析、解决方案设计等工作。,计算机、通信相关专业本科以上学历；\r\n3年以上linux服务器端软件开发经验；\r\n编程基本功扎实，精通C/C++或者Java语言，熟悉Python等脚本语言；\r\n精通TCP/IP协议相关知识及网络编程；\r\n精通Unix/Linux环境和系统编程，熟悉服务器编程模型；\r\n熟悉mysql数据库及相关编程；\r\n善于沟通及主动思考总结，倡导创新与持续优化，思路周密，代码严谨，对技术有强烈兴趣；\r\n有良好的团队合作能力，有强烈的主人翁意识推进事务进展。
TEG02-自研交换机测试高级工程师（深圳）（深圳总部）,负责自研交换机系统，功能，场景测试工作，负责测试工作分解，测试流程制定；\r\n负责主导自研交换机内部测试，交付测试，上线支持等工作；\r\n负责主导自研交换机外部合作测试的工作分解，跟踪，质量验收等工作。,熟悉交换机等网络设备OS，LINUX，L2/L3/QOS/ACL/BGP/OSPF/PORT等功能测试；\r\n熟悉交换机等网络设备自动化框架开发，自动化脚本编写，熟悉自动化运作原理；\r\n熟悉数据中心典型应用场景(例如10G/25G)、拓扑，有数据中心场景商用产品交付经验者优先；\r\n有从事交换机等网络设备商用测试工作5 ~ 10年工作经验者优先。
TEG02-自研交换机测试高级工程师（深圳）（北京）,负责自研交换机系统，功能，场景测试工作，负责测试工作分解，测试流程制定；\r\n负责主导自研交换机内部测试，交付测试，上线支持等工作；\r\n负责主导自研交换机外部合作测试的工作分解，跟踪，质量验收等工作。,熟悉交换机等网络设备OS，LINUX，L2/L3/QOS/ACL/BGP/OSPF/PORT等功能测试；\r\n熟悉交换机等网络设备自动化框架开发，自动化脚本编写，熟悉自动化运作原理；\r\n熟悉数据中心典型应用场景(例如10G/25G)、拓扑，有数据中心场景商用产品交付经验者优先；\r\n有从事交换机等网络设备商用测试工作5 ~ 10年工作经验者优先。
TEG02-光网络控制系统高级测试工程师（北京）,负责开放光网络控制系统的测试，包括制定测试方案和计划，搭建测试环境、编写测试用例、执行系统测试、输出测试报告等；\n负责开放光网络控制系统测试规范、测试流程的建设和优化、培养开放光网络控制系统测试人员；\n负责测试开放光网络控制系统缺陷并协助分析、定位问题，及时合理解决问题，保证产品质量和研发进度；\n负责开放光网络控制系统软件打包、发布及版本控制，现网问题定位解决；\n负责新技术方案验证，评估其可行性、稳定性； \n,大学本科或以上学历，计算机相关专业； \n5年以上网络系统测试工作经验，熟悉ODL平台，熟悉软件测试、系统测试流程及相关工具，需要有较强的质量意识和客户服务意识； \n熟悉传输系统原理，具备传输系统控制器或网管测试经验优先；\n熟悉Linux系统环境，熟练掌握Linux基本工具的使用，至少掌握一种自动化测试脚本语言（如Python，shell，TCL等），能编写自动化测试程序；\n对网络系统测试有浓厚的兴趣，并有持续深钻技术的学习能力；\n有良好的计划、沟通、组织协调能力、语言表达能力；较强的逻辑分析能力和应变能力；良好的团队合作精神； \n
22989-Windows研发工程师(深圳）,负责音视频会议场景的Windows App架构设计与研发工作；\n负责项目的Windows端技术攻坚。,3年以上相关工作经验；\n责任感强，逻辑思维能力、沟通能力强，能够承担工作压力；\n了解MFC/Windows界面实现机制，熟练使用VC，精通C/C++，熟练使用STL；\n理解Windows操作系统的内存管理、文件系统、进程线程调度、网络编程；\n了解Windows系统安全管理和配置，具备基本的驱动开发、调试能力；\n熟悉一种或者几种注入hook技术；\n熟悉Windows调试，熟悉windbg、dump分析，蓝屏分析\n注重模块化，有良好的编程习惯；\n参与开源项目加分；\n有大型音视频项目开发经验者优先。  通过腾讯云技术认证或同等资格认证的优先录取。
21309-企鹅辅导高级产品策划经理（用户增长/付费转化方向）,负责企鹅辅导用户增长和付费转化两个大方向，包括：\n1. 负责企鹅辅导在微信生态以及QQ生态获客，包括但不限于学习工具和承载轻量内容的小程序的产品设计、分享裂变，目标是让更多用户触达到企鹅辅导，了解和信任企鹅辅导提供的内容；\n2. 负责把触达到的用户转化成班课付费用户，包含但不限于运营工具的产品设计，配合运营的售卖激励等。,1. 本科及以上学历，3年以上在线教育或电商相关产品经验；\n2. 了解微信生态，有用户增长或付费转化成功项目经验者更佳；\n3. 责任心强，积极主动，推动能力强，能够敏锐地发现问题，创造性地给出解决方案，并积极推进落地实施；\n4. 有独立带人和带小团队负责相对完整模块业务的能力。
18425-收支管理产品经理,负责境内外多个支付平台各业务的收入、成本管理，包括但不限于以下内容：\n1、参与收入、成本的管理平台建设，保障收入、成本的准确性，应收回款效率，收益结转效率，收入上报集团效率等；\n2、参与各业务项目新的收费点、成本点分析，制定收支接入方案，集中管理；\n3、结合业务、财务诉求，制定各业务多维度分析报表及收支风险监控\n,1、本科以上学历，2年及以上支付或金融行业相关的清结算类产品策划经验\n2、善于快速学习、分析与解决问题，具有较强的逻辑思维与抽象能力\n3、具有一定的数据、合规、风险敏感度，能细致处理问题\n4、具有较强的项目管理能力及执行力，能独立负责产品规划\u0026运营\n5、具备乐观及积极的心态，抗压能力及责任感强，踏实认真，善于沟通与协作\n
29912-微视功能运营高级经理,1、结合微视业务场景与用户交互行为，完成需求的收集、分析与整理，功能联动创意玩法及闭环体验的整体链路及优化迭代；\n2、挖掘微视玩法潜力，整合运营内容、交互场景，建立玩法功能运营策略；\n3、围绕打造爆款玩法、产品运营活动的策划与推进，以及产品营销工具的底层能力建设；\n4、数据整理与分析能力；,1、具有强抗压，严密的逻辑分析能力，良好的沟通协作能力；\n2、有网媒经验、剧本策划，用户玩法经验优先；\n3、良好的创意能力与协作能力；
PCG15-GO/C++/Java后台开发工程师（深圳）,负责NOW直播业务的后台开发及维护；\r\n负责QQ群视频平台业务的开发和维护；\r\n负责互动直播类相关海量后台的架构设计、实现和维护。,"本科及以上学历，计算机相关专业；\n具备Unix/Linux下C/C++/Java/Go其中至少一门语言 1年以上开发经验， 熟悉常用的数据结构、算法设计；\n精通TCP/IP协议，进程间通讯编程，熟悉Unix/Linux下常用架构设计方法；\n熟悉Unix/Linux操作系统原理、常用工具， 熟悉Mysql/Oracle等数据库管理、开发,SQL调优；\n全面的软件知识结构(操作系统、软件工程、设计模式、数据结构、数据库系统、网络安全)；\n具备良好的分析解决问题能力，能独立承担任务和有系统进度把控能力；\n责任心强,良好的对外沟通和团队协作能力；\n有大容量通信系统和大型互联网后台开发经验者优先。"
25928-GCloud游戏云平台高级架构师（深圳/上海）,负责GCloud平台系统架构，制定系统的整体技术规范和业务框架；\n承担业务需求分析并完成技术规划和系统设计工作；\n深入研究竞品，分析行业生态，帮助自身产品不断拓展。,5年以上系统建设，设计，架构经验，有一定技术视野；\n3年以上游戏开发经验，熟悉游戏系统架构，了解行业生态和业务痛点，有大型游戏技术经验者最佳；\n具备较强的团队管理能力和沟通能力，思维活跃，前瞻学习能力强；\n了解软件项目管理、敏捷管理方法论，在中大型项目中有所实践；\n全日制统招，计算机相关专业本科及以上学历。
25928-GCloud游戏云平台高级技术PM（偏技术实施顾问）,作为技术PM对接GCloud平台产品客户群，对接客户需求，跟进产品问题，解决客户痛点；\n深入挖掘客户需求，输出技术解决方案；\n作为需求owner，拉通内外部资源，推动解决方案落地；\n持续优化打磨产品技术方案和提升接入效率；\n规范和优化技术服务流程，提升服务质量和口碑。,2年以上技术开发经验，有游戏行业相关经验及游戏开发背景者最佳；\n1年以上团队管理或大型项目管理工作工作经验；\n熟悉游戏系统架构，具备很强的技术理解能力；\n有较强的沟通能力和服务意识，能从客户角度出发换位思考和推动问题闭环解决；\n具备强大的执行力和学习能力，工作主动性强；\n全日制统招，计算机相关专业本科及以上学历。
25928-高级图形开发工程师（深圳总部）,负责游戏引擎图形相关特性的开发；\n负责渲染流程和算法的优化，以及相关工具的开发；\n负责图形兼容性分析以及疑难问题的分析定位工作。,本科以上学历，精通C/C++，具备扎实的数据结构和算法基础，熟悉常用设计模式；\n具备计算机图形学知识，熟练掌握3D图形渲染技术，熟悉OpenGL以及Shader开发；\n熟练掌握3D游戏引擎架构， 熟悉3D引擎的接口和游戏制作流程；\n3年以上3D引擎（Unreal、Unity等）开发经验，一年以上渲染相关开发和优化经验；\n深刻理解客户端框架和其他核心模块的实现，有主导过核心模块的开发经验者优先；\n熟悉移动端GPU/CPU架构，有移动端渲染开发经验者优先；\n责任心强，善于沟通，对游戏前沿技术应用抱有热情。
25928-高级图形开发工程师（上海）,负责游戏引擎图形相关特性的开发；\n负责渲染流程和算法的优化，以及相关工具的开发；\n负责图形兼容性分析以及疑难问题的分析定位工作。,本科以上学历，精通C/C++，具备扎实的数据结构和算法基础，熟悉常用设计模式；\n具备计算机图形学知识，熟练掌握3D图形渲染技术，熟悉OpenGL以及Shader开发；\n熟练掌握3D游戏引擎架构， 熟悉3D引擎的接口和游戏制作流程；\n3年以上3D引擎（Unreal、Unity等）开发经验，一年以上渲染相关开发和优化经验；\n深刻理解客户端框架和其他核心模块的实现，有主导过核心模块的开发经验者优先；\n熟悉移动端GPU/CPU架构，有移动端渲染开发经验者优先；\n责任心强，善于沟通，对游戏前沿技术应用抱有热情。
25928-Unreal客户端开发工程师 (深圳)  ,负责将AI机器学习技术应用到UE4的游戏中；\n负责将前沿的图形动画技术应用到UE4中；\n负责UE4引擎相关工具开发。,本科以上学历，2年及以上UE4开发经验；\n精通C++，具备扎实的数据结构和算法基础；\n具备1到2款大型3D游戏开发经验优先；\n欢迎喜欢AI、积极进取、学习能力强、善于沟通合作、热爱技术的同学加入。
27560-版本管理（深圳）,跟进协助海外发行商版本计划制定，确定项目组运营需求并推动开发商制作；\n负责引进游戏产品的各阶段版本管理工作，保证版本稳定性； \n跟进游戏版本测试、版本部署、版本发布等版本流程各环节工作； \n负责游戏相关的产品、运营、技术、市场类文档和素材的翻译跟进沟通需求；\n跟进协调研研发团队和海外IP方之间的IP监修、研发计划制定、研发进展同步；\n推动与开发商之间建立有效的合作沟通机制及良好的信任合作关系。,有3年以上项目管理或游戏运营经验；\n英语流利，具备良好的沟通能力\\文字组织能力\\商务谈判能力；\n良好的逻辑思维\\分析总结能力\\数据敏感性，有强烈的责任感和团队合作精神，抗压能力强；\n可接受海外地区出差，育碧游戏爱好者优先。
31504-腾讯云大客户架构咨询专家（北京）,1. 了解游戏相关各类场景及业务诉求\n2. 了解应用、系统、基础设施等各层技术实践及落地\n3. 侧重在公有云环境下运维保障方案，包括并不限于：线上问题管理、全维度全链路的监控管理、线上生产变更管理、故障容灾演练管理、大促重大活动管理以及稳定性文化建设\n4. 基于腾讯云已有的技术支撑保障体系，梳理提炼形成业务领域或特定行业场景的标准运维保障解决方案,1. 5年以上互联网行业相关工作经验，对以下一个或者几个领域有深入的理解：研发、运维、监控、售前/售后技术支持、技术咨询\n2. 对业务运维保障有丰富的实战经验，如复杂业务场景下的流程优化和过程改进、系统的高可用性架构实现、组织的稳定性意识提升等；\n3. 有从0到1运维保障体系的建设和运营经验（流程化、规范化、标准化、工具化、产品化、持续改进）；\n4. 对问题有清晰的分析逻辑和全局思维，能提出具有创造性的解决思路和方案，并有良好的沟通能力和结构化表达能力，以及团队合作意识；\n5. 有较强的抗压能力，能够并行处理多项工作\n6. 有良好的沟通能力、能通过影响他人拿到结果、乐观，快速学习能力强\n\n优先条件：\n1、有团队管理经验；\n2、有ITIL认证，有ITIL体系实践经验，有体系化思维能力；\n3、有PMP认证，有项目管理经验，有系统性解决问题能力；\n3、有6-SIGMA、CMMI认证。   通过腾讯云技术认证或同等资格认证的优先录取。
31504-腾讯云大客户架构咨询专家（上海）,1. 了解游戏相关各类场景及业务诉求\n2. 了解应用、系统、基础设施等各层技术实践及落地\n3. 侧重在公有云环境下运维保障方案，包括并不限于：线上问题管理、全维度全链路的监控管理、线上生产变更管理、故障容灾演练管理、大促重大活动管理以及稳定性文化建设\n4. 基于腾讯云已有的技术支撑保障体系，梳理提炼形成业务领域或特定行业场景的标准运维保障解决方案,1. 5年以上互联网行业相关工作经验，对以下一个或者几个领域有深入的理解：研发、运维、监控、售前/售后技术支持、技术咨询\n2. 对业务运维保障有丰富的实战经验，如复杂业务场景下的流程优化和过程改进、系统的高可用性架构实现、组织的稳定性意识提升等；\n3. 有从0到1运维保障体系的建设和运营经验（流程化、规范化、标准化、工具化、产品化、持续改进）；\n4. 对问题有清晰的分析逻辑和全局思维，能提出具有创造性的解决思路和方案，并有良好的沟通能力和结构化表达能力，以及团队合作意识；\n5. 有较强的抗压能力，能够并行处理多项工作\n6. 有良好的沟通能力、能通过影响他人拿到结果、乐观，快速学习能力强\n\n优先条件：\n1、有团队管理经验；\n2、有ITIL认证，有ITIL体系实践经验，有体系化思维能力；\n3、有PMP认证，有项目管理经验，有系统性解决问题能力；\n3、有6-SIGMA、CMMI认证。   通过腾讯云技术认证或同等资格认证的优先录取。
30361-社交产品经理-创新向,负责创新产品功能的产品策划，从产品概念提出、设计到推动实施； \n负责制定具体产品执行计划并保证其得到高效高质的项目执行； \n在所负责的项目中起到关键角色，和团队高效合作，并推动跨部门合作； \n对所负责的模块进行数据跟踪，定期分析效果，跟踪用户行为。,1至3年社交相关产品经验，对社交产品充满热情；\n热爱互联网产品，喜欢研究新产品新方向，创新力强；\n有较强的沟通能力、逻辑分析能力，善于发现解决问题；\n责任心强，能够推进项目进程；\n社交产品、泛娱乐产品重度用户优先。
